Crop,Input_costs,Tillage_Interculture_cost,Irrigation_cost,Harvesting_Cost,Other_costs,Yield
Banana,40450,19200,9700,0,7000,387
Chickpea,2500,2200,2000,2800,1400,9
Cotton,5650,8000,3000,5000,3000,11
Ginger,43000,4000,8000,4000,7000,80
Groundnut,16600,4700,2000,4800,3000,14
Maize,6500,3700,2000,2000,2500,20
Onion,17000,4000,5000,4000,3000,70
Pearlmillet,2280,1550,1800,1100,1650,3
Potato,21156,3400,4060,2800,3000,120
Rice,17400,16000,4600,16000,5400,46
Sesame,4230,3250,2000,2100,2000,6
Tobacco,9000,1800,3000,12000,5000,10
Watermelon,8200,16000,8000,8000,9200,420
Wheat,6100,2000,2800,1200,2000,16
